Item Name,Serving Size,Protein (g),Total Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Sodium (mg),Cholesterol (mg)
BARLEY,113.0 g,1.77,0.0,23.9,1.77,0.9,0.0,0.0
BARLEY,56.0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARLEY,48.0 g,10.4,1.04,77.1,0.0,14.6,0.0,0.0
"Barley, hulled",Not specified,12.5,2.3,73.5,0.8,17.3,12.0,0.0
"Flour, barley",Not specified,8.72,2.45,77.4,0.0,12.8,20.3,0.0
Barley flour or meal,Not specified,10.5,1.6,74.5,0.8,10.1,4.0,0.0
Barley malt flour,Not specified,10.3,1.84,78.3,0.8,7.1,11.0,0.0
"Barley, pearled, cooked",Not specified,2.26,0.44,28.2,0.28,3.8,3.0,0.0
"Barley, pearled, raw",Not specified,9.91,1.16,77.7,0.8,15.6,9.0,0.0
"Babyfood, cereal, barley, dry fortified",Not specified,13.2,6.6,69.4,13.2,6.6,33.0,0.0
"Soup, beef barley, ready to serve",Not specified,2.81,0.96,7.94,1.22,0.9,297.0,4.0
"Soup, mushroom barley, canned, condensed",Not specified,1.5,1.8,9.6,0.0,0.0,573.0,0.0
"Babyfood, cereal, barley, prepared with whole milk",Not specified,3.73,3.26,9.94,5.1,0.6,43.0,10.0
"CAMPBELL'S CHUNKY, Hearty Beef Barley Soup",Not specified,2.89,0.92,8.98,1.17,1.0,308.0,4.0
"Soup, mushroom barley, canned, prepared with equal volume water",Not specified,0.77,0.93,4.8,0.0,0.3,365.0,0.0
"BARLEY & MUSHROOM SOUP, BARLEY & MUSHROOM",213.0 g,0.94,0.23,7.98,0.47,1.9,33.0,0.0
"BARLEY & MUSHROOM SOUP, BARLEY & MUSHROOM",213.0 g,0.94,0.23,7.98,0.47,1.9,235.0,0.0
"BARLEY & MUSHROOM SOUP, BARLEY; MUSHROOM",312.0 GRM,0.96,0.32,8.01,0.64,1.6,234.0,0.0
"BARLEY & VEGETABLE SOUP, BARLEY & VEGETABLE",36.0 g,8.33,0.0,72.2,5.56,13.9,2360.0,0.0
"BARLEY GRASS JUICE POWDER, BARLEY",5.0 g,40.0,0.0,40.0,20.0,0.0,1200.0,0.0
"BARLEY WINE SALAMI, BARLEY WINE",28.0 g,25.0,39.3,0.0,0.0,0.0,1860.0,125.0
"BEEF BARLEY SOUP, BEEF BARLEY",224.0 g,3.57,1.79,0.0,1.34,1.3,228.0,0.0
"BEEF BARLEY SOUP, BEEF BARLEY",454.0 g,3.52,1.76,5.95,1.1,1.3,229.0,7710.0
"MUSHROOM & BARLEY SOUP, MUSHROOM & BARLEY",227.0 g,2.11,2.07,8.11,1.06,2.2,114.0,0.0
"MUSHROOM BARLEY SOUP, MUSHROOM BARLEY",227.0 g,1.32,0.88,6.61,1.32,1.3,256.0,0.0
"WHEAT & BARLEY CEREAL, WHEAT & BARLEY",58.0 g,10.3,1.72,81.0,8.62,12.1,483.0,0.0
BARLEY CEBADA,33.0 g,9.09,0.0,72.7,0.0,15.2,0.0,0.0
BARLEY FINE,33.0 g,15.2,3.03,112.0,0.0,15.2,0.0,0.0
BARLEY FLAKES,28.0 g,10.7,1.79,64.3,0.0,10.7,0.0,0.0
BARLEY FLOUR,30.0 GRM,10.0,0.0,76.7,0.0,16.7,10.0,0.0
BARLEY FLOUR,30.0 GRM,10.0,1.67,80.0,0.0,10.0,0.0,0.0
BARLEY FLOUR,33.0 g,9.09,1.52,81.8,0.0,9.1,0.0,0.0
BARLEY PEARL,36.0 g,11.1,0.0,72.2,0.0,13.9,0.0,0.0
BARLEY RISOTTO,153.0 g,3.27,3.92,20.9,1.96,3.3,242.0,3.0
BARLEY SOUP,252.0 g,1.19,1.79,7.14,1.19,1.6,302.0,4.0
BARLEY TEA,340.0 ml,0.0,0.0,0.0,0.0,0.0,9.0,0.0
BLACK BARLEY,45.0 g,15.6,3.33,73.3,0.0,17.8,0.0,0.0
FINE BARLEY,45.0 g,8.89,0.0,77.8,2.22,4.4,0.0,0.0
HULLED BARLEY,46.0 g,13.0,2.17,73.9,0.0,17.4,12.0,0.0
MEDIUM BARLEY,45.0 g,8.89,0.0,77.8,2.22,4.4,0.0,0.0
ORGANIC BARLEY,45.0 g,11.1,1.11,82.2,0.0,11.1,0.0,0.0
PEARL BARLEY,50.0 g,10.0,1.0,78.0,0.0,16.0,0.0,0.0
PEARL BARLEY,55.0 g,9.09,0.91,78.2,0.0,16.4,0.0,0.0
PEARL BARLEY,35.0 g,11.4,2.86,77.1,0.0,5.7,0.0,0.0
PEARL BARLEY,54.0 GRM,9.26,0.93,81.5,1.85,11.1,0.0,0.0
PEARL BARLEY,50.0 g,10.0,1.0,78.0,0.0,16.0,0.0,0.0
PEARL BARLEY,33.0 g,9.09,0.0,72.7,0.0,15.2,0.0,0.0
PEARL BARLEY,50.0 g,8.0,2.0,66.0,0.0,10.0,0.0,0.0
PEARL BARLEY,50.0 g,10.0,1.0,78.0,0.0,16.0,0.0,0.0
PEARL BARLEY,35.0 g,8.57,0.0,77.1,0.0,14.3,0.0,0.0
SEMOLINA,46.0 g,10.9,2.17,78.3,0.0,2.2,22.0,0.0
SEMOLINA,42.0 g,9.52,0.0,64.3,0.0,2.4,0.0,0.0
"Semolina, enriched",Not specified,12.7,1.05,72.8,0.0,3.9,1.0,0.0
"Semolina, unenriched",Not specified,12.7,1.05,72.8,0.0,3.9,1.0,0.0
"Flour, semolina, fine",Not specified,13.3,1.84,72.0,0.0,3.68,0.426,0.0
"Flour, semolina, coarse and semi-coarse",Not specified,11.7,1.6,73.8,0.0,3.22,0.0,0.0
"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked",Not specified,5.82,1.5,31.5,0.85,4.6,6.0,0.0
"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dry",Not specified,13.5,2.68,73.1,2.6,10.1,11.0,0.0
"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, cooked (Includes foods for USDA's Food Distribution Program)",Not specified,5.67,1.48,30.9,0.65,4.5,4.0,0.0
"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program)",Not specified,13.2,2.55,73.3,2.2,11.3,12.0,0.0
"CHEESE SEMOLINA LOAF, CHEESE SEMOLINA",57.0 GRM,10.5,4.39,42.1,0.0,1.8,614.0,9.0
"SESAME SEMOLINA BREAD, SESAME SEMOLINA",66.0 g,10.6,0.76,45.4,0.0,3.0,500.0,0.0
"SESAME SEMOLINA LOAF, SESAME SEMOLINA",57.0 g,10.5,1.75,52.6,0.0,3.5,667.0,0.0
"SEMOLINA, RIGATONI",57.0 g,12.3,1.75,73.7,1.75,3.5,0.0,0.0
FINE SEMOLINA,100.0 g,11.0,1.1,73.1,0.0,0.0,0.0,0.0
SEMOLINA FLOUR,45.0 GRM,13.3,2.22,73.3,0.0,2.2,0.0,0.0
SEMOLINA FLOUR,42.0 g,11.9,1.19,73.8,2.38,4.8,0.0,0.0
"DURUM WHEAT SEMOLINA, DURUM WHEAT SEMOLINA",56.0 g,10.7,1.79,75.0,1.79,3.6,0.0,0.0
"ITALIAN SEMOLINA ARTISAN BREAD, ITALIAN SEMOLINA",56.0 g,7.14,1.79,46.4,3.57,0.0,571.0,9.0
"SESAME SEMOLINA SLICED LOAF, SESAME SEMOLINA",56.0 GRM,10.7,8.93,46.4,0.0,1.8,607.0,0.0
"SEMOLINA BATARD GOURMET ARTISAN BREADS, SEMOLINA BATARD",57.0 g,8.77,0.88,52.6,1.75,1.8,579.0,0.0
"THREE CHEESE SEMOLINA LOAF, THREE CHEESE SEMOLINA",57.0 g,10.5,3.51,40.4,0.0,1.8,491.0,9.0
"SEMOLINA, COCHIGLIE PASTINA",57.0 g,12.3,1.75,73.7,1.75,3.5,0.0,0.0
100% ITALIAN SEMOLINA,100.0 g,8.0,1.0,59.0,1.0,3.0,0.0,0.0
100% ITALIAN SEMOLINA,100.0 g,8.0,1.0,59.0,1.0,3.0,0.0,0.0
100% SEMOLINA SHELLS,56.0 g,12.5,0.89,73.2,0.0,3.6,0.0,0.0
ASSORTED SEMOLINA COOKIES,32.0 g,3.12,28.1,64.1,28.1,3.1,0.0,62.0
DURUM SEMOLINA PASTA,56.0 g,13.9,0.89,71.4,2.14,3.4,0.0,0.0
DURUM SEMOLINA ROMBI,57.0 g,12.3,1.75,71.9,3.51,3.5,0.0,0.0
"LASAGNA SEMOLINA, LASAGNA",54.0 GRM,13.0,1.85,75.9,3.7,3.7,0.0,0.0
"MACARONI PRODUCT, SEMOLINA",56.0 g,12.5,0.89,73.2,3.57,1.8,45.0,0.0
PLAIN SEMOLINA FETTUCCINE,57.0 GRM,12.3,0.0,56.1,0.0,3.5,26.0,0.0
SEMOLINA GEMELLI PASTA,100.0 g,7.0,1.0,36.0,2.0,2.0,0.0,0.0
SEMOLINA PANELLA BREAD ,28.0 GRM,10.7,0.0,53.6,0.0,3.6,589.0,0.0
"SEMOLINA PASTA, CAPELLINI",56.0 GRM,10.7,1.79,71.4,3.57,3.6,27.0,0.0
SESAME SEMOLINA BAGUETE,56.0 g,7.14,0.0,42.9,0.0,1.8,464.0,0.0
SESAME SEMOLINA BREAD,57.0 g,7.02,6.14,49.1,1.75,1.8,614.0,0.0
"100% PURE ENRICHED DURUM WHEAT PASTA,SEMOLINA, SEMOLINA",56.0 GRM,12.5,0.89,73.2,1.79,3.6,0.0,0.0
"ITALIAN SEMOLINA SOURDOUGH ARTISAN BREAD, ITALIAN SEMOLINA SOURDOUGH",56.0 g,10.7,2.68,62.5,3.57,1.8,821.0,0.0
"SESAME SEMOLINA ORGANIC TAKE & BAKE LOAF, SESAME SEMOLINA",50.0 GRM,10.0,4.0,50.0,2.0,2.0,480.0,0.0
"DELICIOUS SEMOLINA BRICK OVEN BAKED BREAD, DELICIOUS SEMOLINA BRICK",57.0 g,8.77,0.0,38.6,0.0,5.3,439.0,0.0
"DURUM WHEAT SEMOLINA, ENRICHED MACARONI, DURUM WHEAT SEMOLINA PASTA",56.0 g,14.3,1.79,73.2,3.57,3.6,0.0,0.0
"SEEDED SEMOLINA PANE ITALIANO SLICED ROUND BREAD, SEEDED SEMOLINA",57.0 g,8.77,3.51,47.4,3.51,1.8,702.0,0.0
"CONCHIGLIE, SEMOLINA ARTISANAL PASTA",57.0 g,12.3,1.75,73.7,1.75,3.5,0.0,0.0
EP SEMOLINA BTRD 16OZ,57.0 g,8.77,0.88,52.6,0.0,1.8,579.0,0.0
Sperry Organic Semolina Flour,30.0 GRM,11.8,1.0,72.8,1.0,3.9,1.0,0.0
100% DURUM SEMOLINA CHIOCCIOLE,57.0 GRM,12.3,1.75,71.9,3.51,3.5,0.0,0.0
100% DURUM WHEAT SEMOLINA,56.0 GRM,10.7,1.79,73.2,3.57,3.6,0.0,0.0
100% DURUM WHEAT SEMOLINA,56.0 g,10.7,1.79,73.2,3.57,3.6,0.0,0.0
100% DURUM WHEAT SEMOLINA,56.0 g,10.7,1.79,78.6,3.57,3.6,0.0,0.0
CORN FLOUR,29.0 GRM,10.3,5.17,75.9,0.0,6.9,34.0,0.0
"Corn flour, masa, enriched, white",Not specified,8.46,3.69,76.6,1.61,6.4,5.0,0.0
"Corn flour, masa, unenriched, white",Not specified,8.46,3.69,76.6,1.61,6.4,5.0,0.0
"Corn flour, whole-grain, white",Not specified,6.93,3.86,76.8,0.64,7.3,5.0,0.0
"Corn flour, whole-grain, yellow",Not specified,6.93,3.86,76.8,0.64,7.3,5.0,0.0
"Corn flour, yellow, degermed, unenriched",Not specified,5.59,1.39,82.8,0.64,1.9,1.0,0.0
"Corn flour, yellow, masa, enriched",Not specified,8.46,3.69,76.6,0.0,6.4,5.0,0.0
"Flour, corn, yellow, fine meal, enriched",Not specified,6.2,1.74,80.8,0.0,4.3,0.0,0.0
"Pasta, gluten-free, corn flour and quinoa flour, cooked, ANCIENT HARVEST",Not specified,3.23,2.07,31.1,0.3,3.3,4.0,0.0
"Incaparina, dry mix (corn and soy flours), unprepared",Not specified,21.8,5.58,60.5,0.0,9.9,4.0,0.0
"Pasta, gluten-free, corn and rice flour, cooked",Not specified,3.2,1.0,38.0,0.0,1.4,4.0,0.0
"Corn flour, masa harina, white or yellow, dry, raw",Not specified,7.56,4.34,76.7,0.0,7.04,2.73,0.0
"Corn flour, whole-grain, blue (harina de maiz morado)",Not specified,8.75,5.09,73.9,0.0,8.4,5.0,0.0
Arrowroot flour,Not specified,0.3,0.1,88.2,0.0,3.4,2.0,0.0
Carob flour,Not specified,4.62,0.65,88.9,49.1,39.8,35.0,0.0
"Flour, 00",Not specified,11.4,1.52,74.4,0.0,2.66,0.0,0.0
"Flour, almond",Not specified,26.2,50.2,16.2,0.0,9.27,0.894,0.0
"Flour, amaranth",Not specified,13.2,6.24,68.8,0.0,7.21,0.0,0.0
"Flour, barley",Not specified,8.72,2.45,77.4,0.0,12.8,20.3,0.0
"Flour, buckwheat",Not specified,8.88,2.48,75.0,0.0,10.4,0.0,0.0
"Flour, cassava",Not specified,0.918,0.494,87.3,0.0,4.83,13.1,0.0
"Flour, chestnut",Not specified,5.29,4.64,80.5,0.0,8.71,0.0,0.0
"Flour, coconut",Not specified,16.1,15.3,58.9,0.0,34.2,46.9,0.0
"Flour, potato",Not specified,8.11,0.951,79.9,0.0,5.4,47.7,0.0
"Flour, quinoa",Not specified,11.9,6.6,69.5,0.0,6.3,6.32,0.0
"Flour, rye",Not specified,8.4,1.91,77.2,0.0,13.7,0.0,0.0
"Flour, sorghum",Not specified,8.27,3.59,77.4,0.0,6.02,0.0,0.0
Millet flour,Not specified,10.8,4.25,75.1,1.66,3.5,4.0,0.0
Potato flour,Not specified,6.9,0.34,83.1,3.52,5.9,55.0,0.0
"Bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca",Not specified,4.31,5.24,45.8,3.53,4.3,447.0,0.0
"Crackers, gluten-free, multigrain and vegetable, made with corn starch and white rice flour",Not specified,2.5,15.4,76.9,3.9,3.0,890.0,0.0
"Rolls, gluten-free, white, made with rice flour, rice starch, and corn starch",Not specified,3.34,2.65,50.5,6.87,5.1,593.0,0.0
"Snacks, corn-based, extruded, chips, barbecue-flavor, made with enriched masa flour",Not specified,7.0,32.7,56.2,0.0,0.0,763.0,0.0
Barley flour or meal,Not specified,10.5,1.6,74.5,0.8,10.1,4.0,0.0
Barley malt flour,Not specified,10.3,1.84,78.3,0.8,7.1,11.0,0.0
Chickpea flour (besan),Not specified,22.4,6.69,57.8,10.8,10.8,64.0,0.0
"Flour, rice, brown",Not specified,7.19,3.85,75.5,0.0,0.0,1.0,0.0
"Flour, rice, glutinous",Not specified,6.69,1.16,80.1,0.0,0.0,6.0,0.0
"Flour, semolina, fine",Not specified,13.3,1.84,72.0,0.0,3.68,0.426,0.0
"Flour, soy, defatted",Not specified,51.1,3.33,32.9,0.0,0.0,2.0,0.0
"Peanut flour, defatted",Not specified,52.2,0.55,34.7,8.22,15.8,180.0,0.0
"Rice flour, brown",Not specified,7.23,2.78,76.5,0.66,4.6,8.0,0.0
"Rye flour, dark",Not specified,15.9,2.22,68.6,2.31,23.8,2.0,0.0
"Rye flour, light",Not specified,9.82,1.33,76.7,0.93,8.0,2.0,0.0
"Rye flour, medium",Not specified,10.9,1.52,75.4,1.1,11.8,2.0,0.0
"Soy flour, defatted",Not specified,51.5,1.22,33.9,16.4,17.5,20.0,0.0
"Buckwheat flour, whole-groat",Not specified,12.6,3.1,70.6,2.6,10.0,11.0,0.0
"Flour, oat, whole grain",Not specified,13.2,6.31,69.9,0.0,10.5,3.62,0.0
"Flour, pastry, unenriched, unbleached",Not specified,8.75,1.64,77.2,0.0,0.0,1.0,0.0
"Flour, rice, white, unenriched",Not specified,6.94,1.3,79.8,0.0,0.5,5.0,0.0
LENTILS,35.0 g,22.9,1.43,65.7,0.0,20.0,29.0,0.0
LENTILS,56.70000076293945 GRM,14.1,0.0,35.3,3.53,14.1,0.0,0.0
LENTILS,35.0 g,22.9,1.43,65.7,0.0,20.0,29.0,0.0
LENTILS,35.0 g,28.6,0.0,57.1,5.71,31.4,0.0,0.0
LENTILS,32.0 g,25.0,0.0,59.4,0.0,28.1,16.0,0.0
LENTILS,35.0 g,22.9,1.43,65.7,0.0,20.0,29.0,0.0
LENTILS,40.0 g,0.0,0.0,47.5,0.0,22.5,0.0,0.0
LENTILS,35.0 g,25.7,0.0,62.9,2.86,11.4,0.0,0.0
LENTILS,130.0 g,4.62,0.0,12.3,0.77,2.3,88.0,0.0
LENTILS,48.0 g,22.9,2.08,62.5,0.0,20.8,10.0,0.0
LENTILS,50.0 g,26.0,1.0,60.0,2.0,30.0,0.0,0.0
LENTILS,28.0 g,25.0,0.0,64.3,0.0,0.0,18.0,0.0
LENTILS,32.0 g,25.0,0.0,59.4,0.0,28.1,16.0,0.0
LENTILS,35.0 g,22.9,1.43,65.7,0.0,20.0,29.0,0.0
LENTILS,50.0 g,24.0,1.0,64.0,2.0,10.0,0.0,0.0
LENTILS,48.0 g,22.9,2.08,62.5,0.0,20.8,10.0,0.0
LENTILS,45.0 g,24.4,0.0,64.4,2.22,11.1,0.0,0.0
LENTILS,32.0 g,25.0,0.0,59.4,0.0,28.1,16.0,0.0
LENTILS,35.0 GRM,22.9,1.43,65.7,0.0,20.0,29.0,0.0
LENTILS,35.0 g,28.6,0.0,57.1,5.71,31.4,0.0,0.0
