name,serving_size,protein,carbohydrates,sugar,fiber,water,calories,total_fat
"Durian, raw or frozen",100 g,1.47 g,27.09 g,0,3.8 g,64.99 g,147,5.3g
"Tomatoes, raw, orange",100 g,1.16 g,3.18 g,0,0.9 g,94.78 g,16,0.2g
"Tomatoes, raw, yellow",100 g,0.98 g,2.98 g,0,0.7 g,95.28 g,15,0.3g
"Egg custards, dry mix",100 g,6.90 g,82.80 g,0,0.0 g,1.70 g,410,6.4g
"Peanut flour, low fat",100 g,33.80 g,31.27 g,0,15.8 g,7.80 g,428,22g
"Fish, smoked, haddock",100 g,25.23 g,0.00 g,0.00 g,0.0 g,71.48 g,116,1g
"DENNY'S, french fries",100 g,3.41 g,35.20 g,0.85 g,3.5 g,46.05 g,282,14g
"Ground turkey, cooked",100 g,27.37 g,0.00 g,0.00 g,0.0 g,62.07 g,203,10g
"MURRAY, Vanilla Wafer",100 g,4.00 g,72.90 g,31.50 g,1.4 g,4.10 g,461,17g
"WENDY'S, french fries",100 g,3.73 g,39.73 g,0.40 g,4.0 g,40.62 g,301,14g
"Bread, toasted, wheat",100 g,12.96 g,55.77 g,6.42 g,4.7 g,24.23 g,313,4.3g
"Danish pastry, cheese",100 g,8.00 g,37.20 g,6.95 g,1.0 g,31.40 g,374,22g
"Nuts, glazed, walnuts",100 g,8.28 g,47.59 g,32.14 g,3.6 g,6.28 g,500,36g
"Spices, garlic powder",100 g,16.55 g,72.73 g,2.43 g,9.0 g,6.45 g,331,0.7g
"Oil, soybean lecithin",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,763,100g
"Egg, fresh, raw, yolk",100 g,15.86 g,3.59 g,0.56 g,0.0 g,52.31 g,322,27g
"Fireweed, raw, leaves",100 g,4.71 g,19.22 g,0,10.6 g,70.78 g,103,2.8g
"Beef, pastrami, cured",100 g,21.80 g,0.36 g,0.10 g,0.0 g,69.53 g,147,5.8g
"Frankfurter, meatless",100 g,19.61 g,7.70 g,0.00 g,3.9 g,58.00 g,233,14g
"Emu, raw, flat fillet",100 g,22.25 g,0.00 g,0.00 g,0.0 g,75.40 g,102,0.7g
"Emu, raw, inside drum",100 g,22.22 g,0.00 g,0.00 g,0.0 g,74.73 g,108,1.5g
"Ice creams, chocolate",100 g,3.80 g,28.20 g,25.36 g,1.2 g,55.70 g,216,11g
"Snacks, potato sticks",100 g,6.70 g,53.30 g,0.22 g,3.4 g,2.20 g,522,34g
"USDA Commodity, salsa",100 g,1.50 g,7.00 g,0,1.4 g,89.70 g,36,0.2g
"Figs, uncooked, dried",100 g,3.30 g,63.87 g,47.92 g,9.8 g,30.05 g,249,0.9g
"Game meat, raw, horse",100 g,21.39 g,0.00 g,0,0.0 g,72.63 g,133,4.6g
"Syrup, fruit flavored",100 g,0.00 g,65.10 g,65.00 g,0.0 g,34.82 g,261,0g
"Broccoli, raw, stalks",100 g,2.98 g,5.24 g,0,0,90.69 g,28,0.4g
"Cream, cultured, sour",100 g,2.44 g,4.63 g,3.41 g,0.0 g,73.07 g,198,19g
"Gravy, canned, au jus",100 g,1.20 g,2.50 g,0,0.0 g,94.50 g,16,0.2g
"McDONALD'S, Hamburger",100 g,12.92 g,30.28 g,6.03 g,1.3 g,44.53 g,264,10g
"Cheese, port de salut",100 g,23.78 g,0.57 g,0.57 g,0.0 g,45.45 g,352,28g
SILK Original Creamer,100 g,0.00 g,6.67 g,0.00 g,0.0 g,86.29 g,100,6.7g
SILK Hazelnut Creamer,100 g,0.00 g,20.00 g,20.00 g,0.0 g,72.95 g,133,6.7g
"Soup, mix, dry, onion",100 g,7.48 g,65.07 g,4.65 g,6.6 g,3.79 g,293,0.3g
"Mushrooms, raw, enoki",100 g,2.66 g,7.81 g,0.22 g,2.7 g,88.34 g,37,0.3g
Bacon and beef sticks,100 g,29.10 g,0.80 g,0.80 g,0.0 g,21.60 g,517,44g
"Salami, pork, Italian",100 g,21.70 g,1.20 g,1.20 g,0.0 g,34.60 g,425,37g
"Crackers, whole-wheat",100 g,10.58 g,69.55 g,1.19 g,10.3 g,2.94 g,427,14g
"Peanuts, raw, spanish",100 g,26.15 g,15.83 g,0,9.5 g,6.39 g,570,50g
"Hominy, white, canned",100 g,1.48 g,14.26 g,1.82 g,2.5 g,82.53 g,72,0.9g
"Game meat, raw, moose",100 g,22.24 g,0.00 g,0,0.0 g,75.55 g,102,0.7g
"Pears, red anjou, raw",100 g,0.33 g,14.94 g,9.54 g,3.0 g,84.24 g,62,0.1g
"Horseradish, prepared",100 g,1.18 g,11.29 g,7.99 g,3.3 g,85.08 g,48,0.7g
"Fish, raw, butterfish",100 g,17.28 g,0.00 g,0,0.0 g,74.13 g,146,8g
"Lebanon bologna, beef",100 g,19.03 g,0.44 g,0.00 g,0.0 g,65.77 g,172,10g
Ham and cheese spread,100 g,16.18 g,2.28 g,0,0.0 g,59.13 g,245,19g
"TACO BELL, Taco Salad",100 g,6.69 g,15.10 g,0,3.0 g,67.32 g,170,9.2g
"Sauce, worcestershire",100 g,0.00 g,19.46 g,10.03 g,0.0 g,78.54 g,78,0g
"Candies, marshmallows",100 g,1.80 g,81.30 g,57.56 g,0.1 g,16.40 g,318,0.2g
"Hummus, home prepared",100 g,4.86 g,20.12 g,0.27 g,4.0 g,64.87 g,177,8.6g
Horned melon (Kiwano),100 g,1.78 g,7.56 g,0,0,88.97 g,44,1.3g
Ice cream sundae cone,100 g,3.00 g,28.89 g,21.26 g,1.0 g,53.31 g,254,14g
"Peppers, raw, serrano",100 g,1.74 g,6.70 g,3.83 g,3.7 g,90.25 g,32,0.4g
"Cabbage, cooked, napa",100 g,1.10 g,2.23 g,0,0,96.33 g,12,0.2g
"Peppers, dried, ancho",100 g,11.86 g,51.42 g,0,21.6 g,22.63 g,281,8.2g
"Parsley, freeze-dried",100 g,31.30 g,42.38 g,0,32.7 g,2.00 g,271,5.2g
"Spices, black, pepper",100 g,10.39 g,63.95 g,0.64 g,25.3 g,12.46 g,251,3.3g
"Spices, white, pepper",100 g,10.40 g,68.61 g,0,26.2 g,11.42 g,296,2.1g
"Yambean (jicama), raw",100 g,0.72 g,8.82 g,1.80 g,4.9 g,90.07 g,38,0.1g
"Nuts, dried, pilinuts",100 g,10.80 g,3.98 g,0,0,2.77 g,719,80g
"Kiwifruit, raw, green",100 g,1.14 g,14.66 g,8.99 g,3.0 g,83.07 g,61,0.5g
"Drumstick leaves, raw",100 g,9.40 g,8.28 g,0,2.0 g,78.66 g,64,1.4g
"Yautia (tannier), raw",100 g,1.46 g,23.63 g,0,1.5 g,73.06 g,98,0.4g
"Candies, butterscotch",100 g,0.03 g,90.40 g,80.46 g,0.0 g,5.25 g,391,3.3g
"Cucumber, raw, peeled",100 g,0.59 g,2.16 g,1.38 g,0.7 g,96.73 g,12,0.2g
"Dandelion greens, raw",100 g,2.70 g,9.20 g,0.71 g,3.5 g,85.60 g,45,0.7g
"Melons, raw, honeydew",100 g,0.54 g,9.09 g,8.12 g,0.8 g,89.82 g,36,0.1g
Potato salad with egg,100 g,1.96 g,16.18 g,4.95 g,1.3 g,70.99 g,157,9.4g
"Mushrooms, raw, white",100 g,3.09 g,3.26 g,1.98 g,1.0 g,92.45 g,22,0.3g
"Mushrooms, raw, morel",100 g,3.12 g,5.10 g,0.60 g,2.8 g,89.61 g,31,0.6g
"Cheese, Mexican blend",100 g,23.54 g,1.75 g,1.23 g,0.0 g,42.48 g,358,29g
"Oranges, Florida, raw",100 g,0.70 g,11.54 g,9.14 g,2.4 g,87.14 g,46,0.2g
"SILK Vanilla, soymilk",100 g,2.47 g,4.12 g,2.88 g,0.4 g,91.32 g,41,1.4g
"Papaya nectar, canned",100 g,0.17 g,14.51 g,13.91 g,0.6 g,85.02 g,57,0.2g
"Fiddlehead ferns, raw",100 g,4.55 g,5.54 g,0,0,88.68 g,34,0.4g
SILK Peach soy yogurt,100 g,2.35 g,18.82 g,14.71 g,0.6 g,76.41 g,94,1.2g
SILK Plain soy yogurt,100 g,2.64 g,9.69 g,5.29 g,0.4 g,84.67 g,66,1.8g
"PACE, Enchilada Sauce",100 g,1.67 g,8.33 g,6.67 g,1.7 g,87.10 g,40,0g
Yeast extract spread,100 g,23.88 g,20.42 g,1.60 g,6.5 g,40.90 g,185,0.9g
"Tomatoes, raw, green",100 g,1.20 g,5.10 g,4.00 g,1.1 g,93.00 g,23,0.2g
"Mollusks, raw, snail",100 g,16.10 g,2.00 g,0.00 g,0.0 g,79.20 g,90,1.4g
"Emu, raw, fan fillet",100 g,22.50 g,0.00 g,0.00 g,0.0 g,74.62 g,103,0.8g
"Pasta, enriched, dry",100 g,13.04 g,74.67 g,2.67 g,3.2 g,9.90 g,371,1.5g
"Cookies, gingersnaps",100 g,5.60 g,76.90 g,19.92 g,2.2 g,5.30 g,416,9.8g
"Sour cream, fat free",100 g,3.10 g,15.60 g,0.39 g,0.0 g,80.60 g,74,0g
"MURRAY, Honey Graham",100 g,5.90 g,75.70 g,22.00 g,2.7 g,3.50 g,445,13g
"Frankfurter, chicken",100 g,15.51 g,2.74 g,2.98 g,0.0 g,62.50 g,223,16g
"Ham, canned, chopped",100 g,16.06 g,0.26 g,0.00 g,0.0 g,60.77 g,239,19g
"Spices, dried, thyme",100 g,9.11 g,63.94 g,1.71 g,37.0 g,7.79 g,276,7.4g
"Carrot juice, canned",100 g,0.95 g,9.28 g,3.91 g,0.8 g,88.87 g,40,0.2g
"Corn, dried (Navajo)",100 g,9.88 g,74.93 g,5.38 g,0,8.10 g,386,5.2g
"Pate, truffle flavor",100 g,11.20 g,6.30 g,0,0,51.80 g,327,29g
"Fruit butters, apple",100 g,0.39 g,42.47 g,35.30 g,1.5 g,56.45 g,173,0.3g
"Fast foods, coleslaw",100 g,0.95 g,14.89 g,12.19 g,1.9 g,73.42 g,153,9.9g
"Salami, beef, cooked",100 g,12.60 g,1.90 g,1.50 g,0.0 g,60.00 g,261,22g
"Spices, chili powder",100 g,13.46 g,49.70 g,7.19 g,34.8 g,10.75 g,282,14g
"Spices, caraway seed",100 g,19.77 g,49.90 g,0.64 g,38.0 g,9.87 g,333,15g
"Spices, dried, basil",100 g,22.98 g,47.75 g,1.71 g,37.7 g,10.35 g,233,4.1g
"Pickle relish, sweet",100 g,0.37 g,35.06 g,29.13 g,1.1 g,62.07 g,130,0.5g
"Chives, freeze-dried",100 g,21.20 g,64.29 g,0,26.2 g,2.00 g,311,3.5g
"Fish, raw, sablefish",100 g,13.41 g,0.00 g,0,0.0 g,71.02 g,195,15g
"Crackers, multigrain",100 g,7.10 g,67.60 g,12.00 g,3.5 g,2.50 g,482,20g
"Spices, ground, mace",100 g,6.71 g,50.50 g,0,20.2 g,8.17 g,475,32g
"Spices, onion powder",100 g,10.41 g,79.12 g,6.63 g,15.2 g,5.39 g,341,1g
"Butter, without salt",100 g,0.85 g,0.06 g,0.06 g,0.0 g,17.94 g,717,81g
"Rice noodles, cooked",100 g,1.79 g,24.01 g,0.03 g,1.0 g,73.82 g,108,0.2g
Barley flour or meal,100 g,10.50 g,74.52 g,0.80 g,10.1 g,12.11 g,345,1.6g
"Sesbania flower, raw",100 g,1.28 g,6.73 g,0,0,91.58 g,27,0g
"Garlic bread, frozen",100 g,8.36 g,41.72 g,3.69 g,2.5 g,31.78 g,350,17g
"KFC, Popcorn Chicken",100 g,17.67 g,21.18 g,0.00 g,1.0 g,35.62 g,351,22g
"APPLEBEE'S, coleslaw",100 g,0.79 g,13.17 g,9.33 g,2.8 g,78.15 g,120,7.1g
"Rolls, sweet, dinner",100 g,10.04 g,53.58 g,15.38 g,3.1 g,27.83 g,321,7.4g
"Cherries, raw, sweet",100 g,1.06 g,16.01 g,12.82 g,2.1 g,82.25 g,63,0.2g
"Ostrich, raw, ground",100 g,20.22 g,0.00 g,0.00 g,0.0 g,71.07 g,165,8.7g
"SILK Coffee, soymilk",100 g,2.06 g,10.29 g,9.47 g,0.0 g,85.56 g,62,1.4g
"Snacks, banana chips",100 g,2.30 g,58.40 g,35.34 g,7.7 g,4.30 g,519,34g
"Peaches, raw, yellow",100 g,0.91 g,9.54 g,8.39 g,1.5 g,88.87 g,39,0.3g
"Rolls, wheat, dinner",100 g,8.60 g,46.00 g,1.63 g,3.8 g,37.00 g,273,6.3g
"Candies, HEATH BITES",100 g,3.94 g,63.39 g,60.02 g,2.0 g,0.86 g,530,30g
"Chicken, raw, ground",100 g,17.44 g,0.04 g,0.00 g,0.0 g,73.24 g,143,8.1g
"Pears, bartlett, raw",100 g,0.39 g,15.01 g,9.69 g,3.1 g,84.14 g,63,0.2g
"Toppings, strawberry",100 g,0.20 g,66.30 g,27.38 g,0.7 g,33.00 g,254,0.1g
"KEEBLER, Sugar Cones",100 g,7.30 g,78.00 g,26.40 g,2.1 g,1.00 g,375,3.7g
"Seaweed, raw, wakame",100 g,3.03 g,9.14 g,0.65 g,0.5 g,79.99 g,45,0.6g
"Seaweed, dried, agar",100 g,6.21 g,80.88 g,2.97 g,7.7 g,8.68 g,306,0.3g
"Bread, cracked-wheat",100 g,8.70 g,49.50 g,0,5.5 g,35.80 g,260,3.9g
"Amaranth leaves, raw",100 g,2.46 g,4.02 g,0,0,91.69 g,23,0.3g
"Barley, raw, pearled",100 g,9.91 g,77.72 g,0.80 g,15.6 g,10.09 g,352,1.2g
"Polish sausage, pork",100 g,14.10 g,1.63 g,0,0.0 g,53.15 g,326,29g
"Spices, curry powder",100 g,14.29 g,55.83 g,2.76 g,53.2 g,8.80 g,325,14g
"Bacon bits, meatless",100 g,32.00 g,28.60 g,0.00 g,10.2 g,8.00 g,476,26g
"Semolina, unenriched",100 g,12.68 g,72.83 g,0,3.9 g,12.67 g,360,1.1g
"Grape leaves, canned",100 g,4.27 g,11.71 g,0,9.9 g,76.10 g,69,2g
"Spices, ground, sage",100 g,10.63 g,60.73 g,1.71 g,40.3 g,7.96 g,315,13g
"PACE, Red Taco Sauce",100 g,0.00 g,12.50 g,6.25 g,0.0 g,85.30 g,50,0g
"DENNY'S, hash browns",100 g,2.49 g,26.59 g,1.38 g,2.7 g,59.85 g,197,9g
"DENNY'S, onion rings",100 g,5.29 g,41.05 g,4.76 g,2.4 g,28.92 g,385,22g
"Ostrich, raw, oyster",100 g,21.55 g,0.00 g,0.00 g,0.0 g,75.62 g,125,3.7g
"Oil, corn and canola",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Pumpkin flowers, raw",100 g,1.03 g,3.28 g,0,0,95.15 g,15,0.1g
"Celery flakes, dried",100 g,11.30 g,63.70 g,35.90 g,27.8 g,9.00 g,319,2.1g
"Crackers, egg, matzo",100 g,12.30 g,78.60 g,0,2.8 g,6.40 g,391,2.1g
"Loganberries, frozen",100 g,1.52 g,13.02 g,7.70 g,5.3 g,84.61 g,55,0.3g
"Tangerine juice, raw",100 g,0.50 g,10.10 g,9.90 g,0.2 g,88.90 g,43,0.2g
"Soybeans, raw, green",100 g,12.95 g,11.05 g,0,4.2 g,67.50 g,147,6.8g
"Soybean, curd cheese",100 g,12.50 g,6.90 g,1.60 g,0.0 g,70.90 g,151,8.1g
"Game meat, raw, bear",100 g,20.10 g,0.00 g,0,0.0 g,71.20 g,161,8.3g
"Game meat, raw, deer",100 g,22.96 g,0.00 g,0.00 g,0.0 g,73.57 g,120,2.4g
"Oranges, navels, raw",100 g,0.91 g,12.54 g,8.50 g,2.2 g,85.97 g,49,0.2g
"Tostada shells, corn",100 g,6.15 g,64.43 g,0,5.8 g,3.32 g,474,23g
"Fish, raw, swordfish",100 g,19.66 g,0.00 g,0.00 g,0.0 g,73.38 g,144,6.7g
"Taro, raw, tahitian",100 g,2.79 g,6.91 g,0,0,87.96 g,44,1g
"Chicory greens, raw",100 g,1.70 g,4.70 g,0.70 g,4.0 g,92.00 g,23,0.3g
"Hearts of palm, raw",100 g,2.70 g,25.61 g,17.16 g,1.5 g,69.50 g,115,0.2g
"Chayote, raw, fruit",100 g,0.82 g,4.51 g,1.66 g,1.7 g,94.24 g,19,0.1g
"Fish, smoked, cisco",100 g,16.36 g,0.00 g,0.00 g,0.0 g,69.80 g,177,12g
"Frankfurter, turkey",100 g,12.23 g,3.81 g,1.21 g,0.0 g,62.99 g,223,17g
"Candies, jellybeans",100 g,0.00 g,93.55 g,70.00 g,0.2 g,6.30 g,375,0.1g
"Oil, ucuhuba butter",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
Soy protein isolate,100 g,88.32 g,0.00 g,0.00 g,0.0 g,4.98 g,335,3.4g
"Syrups, light, corn",100 g,0.00 g,76.79 g,76.77 g,0.0 g,22.81 g,283,0.2g
"Fish, raw, milkfish",100 g,20.53 g,0.00 g,0,0.0 g,70.85 g,148,6.7g
"Fish, raw, monkfish",100 g,14.48 g,0.00 g,0,0.0 g,83.24 g,76,1.5g
"Mother's loaf, pork",100 g,12.07 g,7.53 g,0,0.0 g,54.90 g,282,22g
"Tapioca, dry, pearl",100 g,0.19 g,88.69 g,3.35 g,0.9 g,10.99 g,358,0g
"Guavas, raw, common",100 g,2.55 g,14.32 g,8.92 g,5.4 g,80.80 g,68,1g
"Spices, celery seed",100 g,18.07 g,41.35 g,0.67 g,11.8 g,6.04 g,392,25g
"Candies, peanut bar",100 g,15.50 g,47.40 g,42.22 g,4.1 g,1.60 g,522,34g
"Bread, toasted, rye",100 g,9.40 g,53.10 g,4.23 g,6.4 g,31.00 g,284,3.6g
"Oil, apricot kernel",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Candies, YORK BITES",100 g,1.78 g,81.64 g,75.00 g,2.0 g,9.09 g,394,7.3g
"Meatballs, meatless",100 g,21.00 g,8.00 g,1.25 g,4.6 g,58.00 g,197,9g
"Emu, raw, full rump",100 g,22.83 g,0.00 g,0.00 g,0.0 g,73.79 g,112,1.6g
"Mustard greens, raw",100 g,2.86 g,4.67 g,1.32 g,3.2 g,90.70 g,27,0.4g
"Seaweed, raw, laver",100 g,5.81 g,5.11 g,0.49 g,0.3 g,85.03 g,35,0.3g
"Sweet rolls, cheese",100 g,7.10 g,43.70 g,0,1.2 g,29.40 g,360,18g
"Figs, stewed, dried",100 g,1.42 g,27.57 g,23.35 g,4.2 g,69.80 g,107,0.4g
"Bread sticks, plain",100 g,12.00 g,68.40 g,1.26 g,3.0 g,6.10 g,412,9.5g
"SILK Mocha, soymilk",100 g,2.06 g,9.05 g,7.41 g,0.0 g,86.80 g,58,1.4g
Milk and cereal bar,100 g,6.47 g,72.05 g,45.97 g,0.4 g,8.69 g,413,11g
"Bread, pumpernickel",100 g,8.70 g,47.50 g,0.53 g,6.5 g,37.90 g,250,3.1g
"Game meat, raw, elk",100 g,22.95 g,0.00 g,0,0.0 g,74.38 g,111,1.5g
"PACE, Pico De Gallo",100 g,0.00 g,9.38 g,6.25 g,0,88.00 g,31,0g
"Ostrich, raw, round",100 g,21.99 g,0.00 g,0.00 g,0.0 g,75.68 g,116,2.4g
"HORMEL, Cure 81 Ham",100 g,18.43 g,0.21 g,0.00 g,0,74.25 g,106,3.6g
"Prune juice, canned",100 g,0.61 g,17.45 g,16.45 g,1.0 g,81.24 g,71,0g
"McDONALD'S, BIG MAC",100 g,11.82 g,20.08 g,3.97 g,1.6 g,51.30 g,257,15g
"Soy flour, defatted",100 g,51.46 g,33.92 g,16.42 g,17.5 g,7.25 g,327,1.2g
"Bread, toasted, egg",100 g,10.50 g,52.60 g,1.94 g,2.5 g,28.30 g,315,6.6g
"Fish, raw, mahimahi",100 g,18.50 g,0.00 g,0,0.0 g,77.55 g,85,0.7g
"Fish, raw, bluefish",100 g,20.04 g,0.00 g,0,0.0 g,70.86 g,124,4.2g
"Spices, fennel seed",100 g,15.80 g,52.29 g,0,39.8 g,8.81 g,345,15g
"Potatoes, skin, raw",100 g,2.57 g,12.44 g,0,2.5 g,83.29 g,58,0.1g
"Pepper, raw, banana",100 g,1.66 g,5.35 g,1.95 g,3.4 g,91.81 g,27,0.5g
"Drumstick pods, raw",100 g,2.10 g,8.53 g,0,3.2 g,88.20 g,37,0.2g
"Toppings, pineapple",100 g,0.10 g,66.40 g,21.01 g,0.4 g,33.00 g,253,0.1g
Acorn stew (Apache),100 g,6.81 g,9.22 g,0.34 g,0.7 g,79.78 g,95,3.5g
"Tomatoes, sun-dried",100 g,14.11 g,55.76 g,37.59 g,12.3 g,14.56 g,258,3g
"Guava sauce, cooked",100 g,0.32 g,9.48 g,5.88 g,3.6 g,89.56 g,36,0.1g
"Pumpkin leaves, raw",100 g,3.15 g,2.33 g,0,0,92.88 g,19,0.4g
"Melons, raw, casaba",100 g,1.11 g,6.58 g,5.69 g,0.9 g,91.85 g,28,0.1g
"Melon balls, frozen",100 g,0.84 g,7.94 g,0,0.7 g,90.26 g,33,0.3g
"Fish oil, cod liver",100 g,0.00 g,0.00 g,0,0.0 g,0.00 g,902,100g
"Nuts, dried, acorns",100 g,8.10 g,53.66 g,0,0,5.06 g,509,31g
"Rolls, pumpernickel",100 g,10.80 g,51.87 g,0.40 g,5.4 g,32.00 g,276,2.8g
"Gravy, dry, chicken",100 g,11.27 g,62.09 g,0,0,3.85 g,381,9.7g
"Fish, raw, tilefish",100 g,17.50 g,0.00 g,0,0.0 g,78.90 g,96,2.3g
"Ice creams, vanilla",100 g,3.50 g,23.60 g,21.22 g,0.7 g,61.00 g,207,11g
"SILK Plain, soymilk",100 g,2.88 g,3.29 g,2.47 g,0.4 g,91.53 g,41,1.7g
"Cabbage, raw, savoy",100 g,2.00 g,6.10 g,2.27 g,3.1 g,91.00 g,27,0.1g
"Fish, raw, tilapia",100 g,20.08 g,0.00 g,0.00 g,0.0 g,78.08 g,96,1.7g
"Broccoli raab, raw",100 g,3.17 g,2.85 g,0.38 g,2.7 g,92.55 g,22,0.5g
"Corn grain, yellow",100 g,9.42 g,74.26 g,0.64 g,7.3 g,10.37 g,365,4.7g
"Turtle, raw, green",100 g,19.80 g,0.00 g,0.00 g,0.0 g,78.50 g,89,0.5g
"Chicory roots, raw",100 g,1.40 g,17.51 g,8.73 g,1.5 g,80.00 g,72,0.2g
Ice cream sandwich,100 g,4.29 g,37.14 g,18.57 g,0.0 g,48.90 g,237,8.6g
