Item Name,Serving Size,Calories (kcal),Protein (g),Total Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Sodium (mg),Cholesterol (mg),Pakistani,Meal Type
"Snacks, rice cakes, brown rice, sesame seed",Not specified,392.0,7.6,3.8,81.5,0.0,5.4,227.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 GRM,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",133.0 MG,165.0,4.51,2.26,33.1,0.0,0.8,11.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,333.0,6.67,1.11,75.6,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 GRM,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 MG,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 MG,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,356.0,8.89,0.0,77.8,0.0,2.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 GRM,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",125.0 g,176.0,3.2,1.2,37.6,0.0,1.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 GRM,356.0,8.89,0.0,80.0,1.11,0.0,22.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
RICE,45.0 g,356.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
RICE,45.0 g,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
RICE,45.0 g,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
RICE,47.0 g,340.0,6.38,0.0,78.7,0.0,2.1,0.0,0.0,True,Lunch
RICE,45.0 g,333.0,6.67,0.0,75.6,0.0,0.0,0.0,0.0,True,Lunch
RICE,45.0 g,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
RICE,144.0 g,139.0,3.47,2.43,26.4,1.39,1.4,465.0,0.0,True,Lunch
Rice crackers,Not specified,416.0,10.0,5.0,82.6,0.0,0.0,233.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, buckwheat",Not specified,380.0,9.0,3.5,80.1,0.0,3.8,116.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, corn",Not specified,385.0,8.4,3.2,81.2,0.0,2.9,167.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, multigrain",Not specified,387.0,8.5,3.5,80.1,0.0,3.0,252.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, rye",Not specified,386.0,8.1,3.8,79.9,0.0,4.0,110.0,0.0,True,Lunch
"Snacks, rice cracker brown rice, plain",Not specified,387.0,8.2,2.8,81.5,0.89,4.2,166.0,0.0,True,Lunch
"Rice and vermicelli mix, rice pilaf flavor, unprepared",Not specified,359.0,10.4,1.37,76.3,1.53,1.2,1300.0,1.0,True,Lunch
"Snacks, rice cakes, brown rice, buckwheat, unsalted",Not specified,380.0,9.0,3.5,80.1,0.0,0.0,4.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, multigrain, unsalted",Not specified,387.0,8.5,3.5,80.1,0.0,0.0,4.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, plain, unsalted",Not specified,387.0,8.2,2.8,81.5,0.88,4.2,26.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, sesame seed",Not specified,392.0,7.6,3.8,81.5,0.0,5.4,227.0,0.0,True,Lunch
"Beverages, rice milk, unsweetened",Not specified,47.0,0.28,0.97,9.17,5.28,0.3,39.0,0.0,True,Breakfast
"Bread, rice bran",Not specified,243.0,8.9,4.6,43.5,4.67,4.9,269.0,0.0,True,Breakfast
"Flour, rice, brown",Not specified,365.0,7.19,3.85,75.5,0.0,0.0,1.0,0.0,True,Lunch
"Flour, rice, glutinous",Not specified,1500.0,6.69,1.16,80.1,0.0,0.0,6.0,0.0,True,Lunch
"Oil, rice bran",Not specified,3700.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,True,Lunch
"ON THE BORDER, Mexican rice",Not specified,195.0,3.56,4.86,34.2,1.38,1.1,677.0,0.0,True,Lunch
"Rice bran, crude",Not specified,316.0,13.4,20.8,49.7,0.9,21.0,5.0,0.0,True,Lunch
"Rice flour, brown",Not specified,363.0,7.23,2.78,76.5,0.66,4.6,8.0,0.0,True,Lunch
"Rice noodles, cooked",Not specified,454.0,1.79,0.2,24.0,0.03,1.0,19.0,0.0,True,Lunch
"Rice noodles, dry",Not specified,1520.0,5.95,0.56,80.2,0.12,1.6,182.0,0.0,True,Lunch
"Wild rice, cooked",Not specified,101.0,3.99,0.34,21.3,0.73,1.8,3.0,0.0,True,Lunch
"Wild rice, raw",Not specified,357.0,14.7,1.08,74.9,2.5,6.2,7.0,0.0,True,Lunch
"Rice cake, cracker (include hain mini rice cakes)",Not specified,1640.0,7.1,4.3,81.1,0.88,4.2,71.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, sesame seed, unsalted",Not specified,392.0,7.6,3.8,81.5,0.0,0.0,4.0,0.0,True,Lunch
"Rice and vermicelli mix, rice pilaf flavor, prepared with 80% margarine",Not specified,618.0,2.94,3.7,25.7,0.26,0.6,430.0,0.0,True,Lunch
"Alcoholic beverage, rice (sake)",Not specified,561.0,0.5,0.0,5.0,0.0,0.0,2.0,0.0,True,Lunch
"Babyfood, dinner, chicken and rice",Not specified,51.0,1.6,0.9,9.2,0.55,1.1,25.0,10.0,True,Lunch
"Babyfood, peas and brown rice",Not specified,64.0,3.4,0.5,11.5,2.89,2.5,6.0,0.0,True,Lunch
"Babyfood, rice and apples, dry",Not specified,396.0,6.7,2.4,86.9,3.22,3.0,16.0,0.0,True,Lunch
"Bread, rice bran, toasted",Not specified,264.0,9.7,5.0,47.3,5.08,5.3,292.0,0.0,True,Breakfast
"Cereals, CREAM OF RICE, dry",Not specified,370.0,6.3,0.5,82.4,0.3,0.7,6.0,0.0,True,Breakfast
"Flour, rice, white, unenriched",Not specified,359.0,6.94,1.3,79.8,0.0,0.5,5.0,0.0,True,Lunch
"Puddings, rice, dry mix",Not specified,376.0,2.7,0.1,91.2,0.0,0.7,366.0,0.0,True,Lunch
"Puddings, rice, ready-to-eat",Not specified,108.0,3.23,2.15,18.4,11.6,0.3,97.0,12.0,True,Lunch
"Restaurant, Mexican, spanish rice",Not specified,185.0,3.28,5.29,31.2,1.3,1.2,528.0,0.0,True,Lunch
Rice and Wheat cereal bar,Not specified,1710.0,9.09,9.09,72.7,31.8,1.8,428.0,0.0,True,Breakfast
"Rice flour, white, unenriched",Not specified,366.0,5.95,1.42,80.1,0.12,2.4,0.0,0.0,True,Lunch
"Rice, black, unenriched, raw",Not specified,0.0,7.57,3.44,77.2,0.0,4.18,0.0,0.0,True,Lunch
"Snacks, brown rice chips",Not specified,384.0,8.2,2.8,81.5,0.6,4.2,326.0,0.0,True,Lunch
"Wild rice, dry, raw",Not specified,0.0,12.8,1.7,75.7,0.0,4.26,1.01,0.0,True,Lunch
"Bread, gluten-free, white, made with potato extract, rice starch, and rice flour",Not specified,320.0,3.13,10.7,52.8,8.36,3.5,528.0,0.0,True,Breakfast
"Pasta, gluten-free, rice flour and rice bran extract, cooked, DE BOLES",Not specified,836.0,4.21,1.7,40.8,0.0,1.9,4.0,0.0,True,Lunch
WHEAT FLOUR,15.0 g,467.0,6.67,20.0,66.7,6.67,6.7,800.0,0.0,True,Unspecified
WHEAT FLOUR,100.0 g,334.0,10.3,1.1,70.0,0.0,0.0,0.0,0.0,True,Unspecified
WHEAT FLOUR,100.0 g,345.0,11.8,1.1,70.7,1.4,2.6,1.0,0.0,True,Unspecified
WHEAT FLOUR,100.0 g,344.0,11.5,1.2,70.6,3.4,2.5,1.0,0.0,True,Unspecified
"Wheat flour, whole-grain, soft wheat",Not specified,332.0,9.61,1.95,74.5,1.02,13.1,3.0,0.0,True,Unspecified
"Flour, whole wheat, unenriched",Not specified,1550.0,15.1,2.73,71.2,0.0,10.6,3.0,0.0,True,Unspecified
"Wheat flours, bread, unenriched",Not specified,361.0,12.0,1.66,72.5,0.31,2.4,2.0,0.0,True,Breakfast
"Wheat flour, white, bread, enriched",Not specified,1510.0,12.0,1.66,72.5,0.31,2.4,2.0,0.0,True,Breakfast
"Wheat flour, white, cake, enriched",Not specified,1520.0,8.2,0.86,78.0,0.31,1.7,2.0,0.0,True,Snack
"Flour, wheat, all-purpose, enriched, bleached",Not specified,366.0,10.9,1.48,77.3,0.0,0.0,2.0,0.0,True,Unspecified
"Flour, wheat, all-purpose, enriched, unbleached",Not specified,358.0,13.1,1.48,73.2,0.0,0.0,4.0,0.0,True,Unspecified
"Flour, wheat, all-purpose, unenriched, unbleached",Not specified,1510.0,12.0,1.7,74.6,0.0,3.0,2.0,0.0,True,Unspecified
"Wheat flour, white, all-purpose, unenriched",Not specified,1520.0,10.3,0.98,76.3,0.27,2.7,2.0,0.0,True,Unspecified
"Wheat flour, white, tortilla mix, enriched",Not specified,405.0,9.66,10.6,67.1,0.0,0.0,677.0,0.0,True,Unspecified
"Wheat flour, white, all-purpose, enriched, bleached",Not specified,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.0,True,Unspecified
"Wheat flour, white, all-purpose, enriched, unbleached",Not specified,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 10% protein, bleached, enriched",Not specified,1530.0,9.71,1.48,76.2,0.49,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 10% protein, bleached, unenriched",Not specified,366.0,9.71,1.48,76.2,0.49,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 10% protein, unbleached, enriched",Not specified,1530.0,9.71,1.48,76.2,0.49,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 11.5% protein, bleached, enriched",Not specified,363.0,11.5,1.45,73.8,1.12,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 11.5% protein, bleached, unenriched",Not specified,1520.0,11.5,1.45,73.8,1.12,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 11.5% protein, unbleached, enriched",Not specified,363.0,11.5,1.45,73.8,1.12,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 13% protein, bleached, enriched",Not specified,1510.0,13.1,1.38,72.2,1.1,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 13% protein, bleached, unenriched",Not specified,362.0,13.1,1.38,72.2,1.1,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 15% protein, bleached, enriched",Not specified,1510.0,15.3,1.41,69.9,0.92,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 15% protein, bleached, unenriched",Not specified,362.0,15.3,1.41,69.9,0.92,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 9% protein, bleached, enriched",Not specified,1530.0,8.89,1.43,77.3,0.54,0.0,2.0,0.0,True,Unspecified
"Wheat flour, white (industrial), 9% protein, bleached, unenriched",Not specified,367.0,8.89,1.43,77.3,0.54,2.4,2.0,0.0,True,Unspecified
"Wheat flour, white, all-purpose, enriched, calcium-fortified",Not specified,364.0,10.3,0.98,76.3,0.0,2.7,2.0,0.0,True,Unspecified
"Wheat flour, white, all-purpose, self-rising, enriched",Not specified,1480.0,9.89,0.97,74.2,0.22,2.7,1190.0,0.0,True,Unspecified
"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",Not specified,348.0,8.41,2.85,73.4,0.0,6.3,1320.0,0.0,True,Unspecified
"Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriched",Not specified,348.0,8.41,2.85,73.4,0.0,6.3,1320.0,0.0,True,Unspecified
"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)",Not specified,1420.0,13.2,2.5,72.0,0.41,10.7,2.0,0.0,True,Unspecified
"Pan Dulce, La Ricura, Salpora de Arroz con Azucar, cookie-like, contains wheat flour and rice flour",Not specified,445.0,8.81,16.1,66.3,21.9,1.2,445.0,0.0,True,Lunch
Arrowroot flour,Not specified,357.0,0.3,0.1,88.2,0.0,3.4,2.0,0.0,True,Unspecified
Carob flour,Not specified,929.0,4.62,0.65,88.9,49.1,39.8,35.0,0.0,True,Unspecified
"Flour, 00",Not specified,0.0,11.4,1.52,74.4,0.0,2.66,0.0,0.0,True,Unspecified
"Flour, almond",Not specified,0.0,26.2,50.2,16.2,0.0,9.27,0.894,0.0,True,Unspecified
"Flour, amaranth",Not specified,0.0,13.2,6.24,68.8,0.0,7.21,0.0,0.0,True,Unspecified
"Flour, barley",Not specified,0.0,8.72,2.45,77.4,0.0,12.8,20.3,0.0,True,Unspecified
"Flour, buckwheat",Not specified,0.0,8.88,2.48,75.0,0.0,10.4,0.0,0.0,True,Unspecified
"Flour, cassava",Not specified,0.0,0.918,0.494,87.3,0.0,4.83,13.1,0.0,True,Unspecified
"Flour, chestnut",Not specified,0.0,5.29,4.64,80.5,0.0,8.71,0.0,0.0,True,Unspecified
"Flour, coconut",Not specified,0.0,16.1,15.3,58.9,0.0,34.2,46.9,0.0,True,Unspecified
"Flour, potato",Not specified,0.0,8.11,0.951,79.9,0.0,5.4,47.7,0.0,True,Unspecified
"Flour, quinoa",Not specified,0.0,11.9,6.6,69.5,0.0,6.3,6.32,0.0,True,Unspecified
"Flour, rye",Not specified,0.0,8.4,1.91,77.2,0.0,13.7,0.0,0.0,True,Unspecified
"Flour, sorghum",Not specified,0.0,8.27,3.59,77.4,0.0,6.02,0.0,0.0,True,Unspecified
Millet flour,Not specified,1600.0,10.8,4.25,75.1,1.66,3.5,4.0,0.0,True,Unspecified
Potato flour,Not specified,1490.0,6.9,0.34,83.1,3.52,5.9,55.0,0.0,True,Unspecified
MAIDA ALL PURPOSE FLOUR,30.0 g,383.0,10.0,3.33,76.7,0.0,3.3,23.0,0.0,True,Unspecified
"KARACHI'S FRUIT BISCUITS, KARACHI'S FRUIT",64.0 g,500.0,6.25,23.4,65.6,18.8,4.7,78.0,0.0,True,Snack
BARLEY,113.0 g,106.0,1.77,0.0,23.9,1.77,0.9,0.0,0.0,True,Unspecified
BARLEY,56.0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Unspecified
BARLEY,48.0 g,354.0,10.4,1.04,77.1,0.0,14.6,0.0,0.0,True,Unspecified
"Barley, hulled",Not specified,354.0,12.5,2.3,73.5,0.8,17.3,12.0,0.0,True,Unspecified
"Flour, barley",Not specified,0.0,8.72,2.45,77.4,0.0,12.8,20.3,0.0,True,Unspecified
Barley flour or meal,Not specified,345.0,10.5,1.6,74.5,0.8,10.1,4.0,0.0,True,Unspecified
Barley malt flour,Not specified,361.0,10.3,1.84,78.3,0.8,7.1,11.0,0.0,True,Unspecified
"Barley, pearled, cooked",Not specified,515.0,2.26,0.44,28.2,0.28,3.8,3.0,0.0,True,Unspecified
"Barley, pearled, raw",Not specified,352.0,9.91,1.16,77.7,0.8,15.6,9.0,0.0,True,Unspecified
"Babyfood, cereal, barley, dry fortified",Not specified,1570.0,13.2,6.6,69.4,13.2,6.6,33.0,0.0,True,Breakfast
"Soup, beef barley, ready to serve",Not specified,216.0,2.81,0.96,7.94,1.22,0.9,297.0,4.0,True,Lunch
"Soup, mushroom barley, canned, condensed",Not specified,255.0,1.5,1.8,9.6,0.0,0.0,573.0,0.0,True,Lunch
"Babyfood, cereal, barley, prepared with whole milk",Not specified,352.0,3.73,3.26,9.94,5.1,0.6,43.0,10.0,True,Breakfast
"CAMPBELL'S CHUNKY, Hearty Beef Barley Soup",Not specified,233.0,2.89,0.92,8.98,1.17,1.0,308.0,4.0,True,Lunch
"Soup, mushroom barley, canned, prepared with equal volume water",Not specified,126.0,0.77,0.93,4.8,0.0,0.3,365.0,0.0,True,Lunch
"BARLEY & MUSHROOM SOUP, BARLEY & MUSHROOM",213.0 g,38.0,0.94,0.23,7.98,0.47,1.9,33.0,0.0,True,Lunch
"BARLEY & MUSHROOM SOUP, BARLEY & MUSHROOM",213.0 g,38.0,0.94,0.23,7.98,0.47,1.9,235.0,0.0,True,Lunch
"BARLEY & MUSHROOM SOUP, BARLEY; MUSHROOM",312.0 GRM,35.0,0.96,0.32,8.01,0.64,1.6,234.0,0.0,True,Lunch
"BARLEY & VEGETABLE SOUP, BARLEY & VEGETABLE",36.0 g,306.0,8.33,0.0,72.2,5.56,13.9,2360.0,0.0,True,Lunch
"BARLEY GRASS JUICE POWDER, BARLEY",5.0 g,400.0,40.0,0.0,40.0,20.0,0.0,1200.0,0.0,True,Unspecified
"BARLEY WINE SALAMI, BARLEY WINE",28.0 g,500.0,25.0,39.3,0.0,0.0,0.0,1860.0,125.0,True,Unspecified
"BEEF BARLEY SOUP, BEEF BARLEY",224.0 g,54.0,3.57,1.79,0.0,1.34,1.3,228.0,0.0,True,Lunch
"BEEF BARLEY SOUP, BEEF BARLEY",454.0 g,53.0,3.52,1.76,5.95,1.1,1.3,229.0,7710.0,True,Lunch
"MUSHROOM & BARLEY SOUP, MUSHROOM & BARLEY",227.0 g,57.0,2.11,2.07,8.11,1.06,2.2,114.0,0.0,True,Lunch
"MUSHROOM BARLEY SOUP, MUSHROOM BARLEY",227.0 g,35.0,1.32,0.88,6.61,1.32,1.3,256.0,0.0,True,Lunch
"WHEAT & BARLEY CEREAL, WHEAT & BARLEY",58.0 g,345.0,10.3,1.72,81.0,8.62,12.1,483.0,0.0,True,Breakfast
BARLEY CEBADA,33.0 g,303.0,9.09,0.0,72.7,0.0,15.2,0.0,0.0,True,Unspecified
BARLEY FINE,33.0 g,515.0,15.2,3.03,112.0,0.0,15.2,0.0,0.0,True,Unspecified
BARLEY FLAKES,28.0 g,29.0,10.7,1.79,64.3,0.0,10.7,0.0,0.0,True,Unspecified
BARLEY FLOUR,30.0 GRM,367.0,10.0,0.0,76.7,0.0,16.7,10.0,0.0,True,Unspecified
BARLEY FLOUR,30.0 GRM,367.0,10.0,1.67,80.0,0.0,10.0,0.0,0.0,True,Unspecified
BARLEY FLOUR,33.0 g,394.0,9.09,1.52,81.8,0.0,9.1,0.0,0.0,True,Unspecified
BARLEY PEARL,36.0 g,278.0,11.1,0.0,72.2,0.0,13.9,0.0,0.0,True,Unspecified
BARLEY RISOTTO,153.0 g,137.0,3.27,3.92,20.9,1.96,3.3,242.0,3.0,True,Unspecified
BARLEY SOUP,252.0 g,48.0,1.19,1.79,7.14,1.19,1.6,302.0,4.0,True,Lunch
BARLEY TEA,340.0 ml,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,True,Unspecified
BLACK BARLEY,45.0 g,378.0,15.6,3.33,73.3,0.0,17.8,0.0,0.0,True,Unspecified
FINE BARLEY,45.0 g,356.0,8.89,0.0,77.8,2.22,4.4,0.0,0.0,True,Unspecified
HULLED BARLEY,46.0 g,352.0,13.0,2.17,73.9,0.0,17.4,12.0,0.0,True,Unspecified
MEDIUM BARLEY,45.0 g,356.0,8.89,0.0,77.8,2.22,4.4,0.0,0.0,True,Unspecified
ORGANIC BARLEY,45.0 g,378.0,11.1,1.11,82.2,0.0,11.1,0.0,0.0,True,Unspecified
PEARL BARLEY,50.0 g,360.0,10.0,1.0,78.0,0.0,16.0,0.0,0.0,True,Unspecified
PEARL BARLEY,55.0 g,345.0,9.09,0.91,78.2,0.0,16.4,0.0,0.0,True,Unspecified
PEARL BARLEY,35.0 g,343.0,11.4,2.86,77.1,0.0,5.7,0.0,0.0,True,Unspecified
PEARL BARLEY,54.0 GRM,370.0,9.26,0.93,81.5,1.85,11.1,0.0,0.0,True,Unspecified
PEARL BARLEY,50.0 g,360.0,10.0,1.0,78.0,0.0,16.0,0.0,0.0,True,Unspecified
PEARL BARLEY,33.0 g,303.0,9.09,0.0,72.7,0.0,15.2,0.0,0.0,True,Unspecified
PEARL BARLEY,50.0 g,340.0,8.0,2.0,66.0,0.0,10.0,0.0,0.0,True,Unspecified
PEARL BARLEY,50.0 g,360.0,10.0,1.0,78.0,0.0,16.0,0.0,0.0,True,Unspecified
PEARL BARLEY,35.0 g,343.0,8.57,0.0,77.1,0.0,14.3,0.0,0.0,True,Unspecified
SEMOLINA,46.0 g,376.0,10.9,2.17,78.3,0.0,2.2,22.0,0.0,True,Unspecified
SEMOLINA,42.0 g,310.0,9.52,0.0,64.3,0.0,2.4,0.0,0.0,True,Unspecified
"Semolina, enriched",Not specified,360.0,12.7,1.05,72.8,0.0,3.9,1.0,0.0,True,Unspecified
"Semolina, unenriched",Not specified,360.0,12.7,1.05,72.8,0.0,3.9,1.0,0.0,True,Unspecified
"Flour, semolina, fine",Not specified,0.0,13.3,1.84,72.0,0.0,3.68,0.426,0.0,True,Unspecified
"Flour, semolina, coarse and semi-coarse",Not specified,0.0,11.7,1.6,73.8,0.0,3.22,0.0,0.0,True,Unspecified
"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked",Not specified,159.0,5.82,1.5,31.5,0.85,4.6,6.0,0.0,True,Lunch
"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dry",Not specified,1520.0,13.5,2.68,73.1,2.6,10.1,11.0,0.0,True,Lunch
"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, cooked (Includes foods for USDA's Food Distribution Program)",Not specified,652.0,5.67,1.48,30.9,0.65,4.5,4.0,0.0,True,Lunch
"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program)",Not specified,361.0,13.2,2.55,73.3,2.2,11.3,12.0,0.0,True,Lunch
"CHEESE SEMOLINA LOAF, CHEESE SEMOLINA",57.0 GRM,263.0,10.5,4.39,42.1,0.0,1.8,614.0,9.0,True,Breakfast
"SESAME SEMOLINA BREAD, SESAME SEMOLINA",66.0 g,227.0,10.6,0.76,45.4,0.0,3.0,500.0,0.0,True,Breakfast
"SESAME SEMOLINA LOAF, SESAME SEMOLINA",57.0 g,281.0,10.5,1.75,52.6,0.0,3.5,667.0,0.0,True,Unspecified
"SEMOLINA, RIGATONI",57.0 g,368.0,12.3,1.75,73.7,1.75,3.5,0.0,0.0,True,Unspecified
FINE SEMOLINA,100.0 g,1500.0,11.0,1.1,73.1,0.0,0.0,0.0,0.0,True,Unspecified
SEMOLINA FLOUR,45.0 GRM,356.0,13.3,2.22,73.3,0.0,2.2,0.0,0.0,True,Unspecified
SEMOLINA FLOUR,42.0 g,357.0,11.9,1.19,73.8,2.38,4.8,0.0,0.0,True,Unspecified
"DURUM WHEAT SEMOLINA, DURUM WHEAT SEMOLINA",56.0 g,357.0,10.7,1.79,75.0,1.79,3.6,0.0,0.0,True,Unspecified
"ITALIAN SEMOLINA ARTISAN BREAD, ITALIAN SEMOLINA",56.0 g,232.0,7.14,1.79,46.4,3.57,0.0,571.0,9.0,True,Breakfast
"SESAME SEMOLINA SLICED LOAF, SESAME SEMOLINA",56.0 GRM,304.0,10.7,8.93,46.4,0.0,1.8,607.0,0.0,True,Unspecified
