item_name,serving_size,calories_(kcal),protein_(g),total_fat_(g),carbohydrates_(g),sugar_(g),fiber_(g),sodium_(mg),cholesterol_(mg),pakistani,meal_type
"BARLEY & MUSHROOM SOUP, BARLEY & MUSHROOM",213.0 g,38.0,0.94,0.23,7.98,0.47,1.9,235.0,0.0,True,Lunch
"BARLEY & MUSHROOM SOUP, BARLEY; MUSHROOM",312.0 GRM,35.0,0.96,0.32,8.01,0.64,1.6,234.0,0.0,True,Lunch
"BARLEY & VEGETABLE SOUP, BARLEY & VEGETABLE",36.0 g,306.0,8.33,0.0,72.2,5.56,13.9,2360.0,0.0,True,Lunch
"BEEF BARLEY SOUP, BEEF BARLEY",224.0 g,54.0,3.57,1.79,0.0,1.34,1.3,228.0,0.0,True,Lunch
"BEEF BARLEY SOUP, BEEF BARLEY",454.0 g,53.0,3.52,1.76,5.95,1.1,1.3,229.0,7710.0,True,Lunch
"MUSHROOM & BARLEY SOUP, MUSHROOM & BARLEY",227.0 g,57.0,2.11,2.07,8.11,1.06,2.2,114.0,0.0,True,Lunch
"MUSHROOM BARLEY SOUP, MUSHROOM BARLEY",227.0 g,35.0,1.32,0.88,6.61,1.32,1.3,256.0,0.0,True,Lunch
"WHEAT & BARLEY CEREAL, WHEAT & BARLEY",58.0 g,345.0,10.3,1.72,81.0,8.62,12.1,483.0,0.0,True,Breakfast
BARLEY SOUP,252.0 g,48.0,1.19,1.79,7.14,1.19,1.6,302.0,4.0,True,Lunch
"CHEESE SEMOLINA LOAF, CHEESE SEMOLINA",57.0 GRM,263.0,10.5,4.39,42.1,0.0,1.8,614.0,9.0,True,Breakfast
"SESAME SEMOLINA BREAD, SESAME SEMOLINA",66.0 g,227.0,10.6,0.76,45.4,0.0,3.0,500.0,0.0,True,Breakfast
"ITALIAN SEMOLINA ARTISAN BREAD, ITALIAN SEMOLINA",56.0 g,232.0,7.14,1.79,46.4,3.57,0.0,571.0,9.0,True,Breakfast
"SEMOLINA BATARD GOURMET ARTISAN BREADS, SEMOLINA BATARD",57.0 g,246.0,8.77,0.88,52.6,1.75,1.8,579.0,0.0,True,Breakfast
"THREE CHEESE SEMOLINA LOAF, THREE CHEESE SEMOLINA",57.0 g,246.0,10.5,3.51,40.4,0.0,1.8,491.0,9.0,True,Breakfast
ASSORTED SEMOLINA COOKIES,32.0 g,431.0,3.12,28.1,64.1,28.1,3.1,0.0,62.0,True,Unhealthy
DURUM SEMOLINA PASTA,56.0 g,354.0,13.9,0.89,71.4,2.14,3.4,0.0,0.0,True,Lunch
"LASAGNA SEMOLINA, LASAGNA",54.0 GRM,370.0,13.0,1.85,75.9,3.7,3.7,0.0,0.0,True,Dinner
SEMOLINA GEMELLI PASTA,100.0 g,180.0,7.0,1.0,36.0,2.0,2.0,0.0,0.0,True,Lunch
SEMOLINA PANELLA BREAD ,28.0 GRM,250.0,10.7,0.0,53.6,0.0,3.6,589.0,0.0,True,Breakfast
"SEMOLINA PASTA, CAPELLINI",56.0 GRM,357.0,10.7,1.79,71.4,3.57,3.6,27.0,0.0,True,Lunch
SESAME SEMOLINA BREAD,57.0 g,281.0,7.02,6.14,49.1,1.75,1.8,614.0,0.0,True,Breakfast
"100% PURE ENRICHED DURUM WHEAT PASTA,SEMOLINA, SEMOLINA",56.0 GRM,339.0,12.5,0.89,73.2,1.79,3.6,0.0,0.0,True,Lunch
"ITALIAN SEMOLINA SOURDOUGH ARTISAN BREAD, ITALIAN SEMOLINA SOURDOUGH",56.0 g,339.0,10.7,2.68,62.5,3.57,1.8,821.0,0.0,True,Breakfast
"DELICIOUS SEMOLINA BRICK OVEN BAKED BREAD, DELICIOUS SEMOLINA BRICK",57.0 g,168.0,8.77,0.0,38.6,0.0,5.3,439.0,0.0,True,Breakfast
"DURUM WHEAT SEMOLINA, ENRICHED MACARONI, DURUM WHEAT SEMOLINA PASTA",56.0 g,357.0,14.3,1.79,73.2,3.57,3.6,0.0,0.0,True,Lunch
"SEEDED SEMOLINA PANE ITALIANO SLICED ROUND BREAD, SEEDED SEMOLINA",57.0 g,263.0,8.77,3.51,47.4,3.51,1.8,702.0,0.0,True,Breakfast
"CONCHIGLIE, SEMOLINA ARTISANAL PASTA",57.0 g,368.0,12.3,1.75,73.7,1.75,3.5,0.0,0.0,True,Lunch
CHANA DAL,50.0 g,380.0,22.0,6.0,60.0,12.0,18.0,50.0,0.0,True,Lunch
CHANA DAL MASALA,5.0 g,360.0,40.0,20.0,40.0,0.0,0.0,7820.0,0.0,True,Lunch
"BOMBAY KITCHEN, CHANA DAL",28.299999237060547 g,488.0,21.2,24.7,49.5,0.0,3.5,802.0,0.0,True,Lunch
CHANA DAL SPLIT CHICK PEAS,45.0 g,356.0,20.0,6.67,60.0,11.1,17.8,22.0,0.0,True,Lunch
"YELLOW SPLIT PEAS, CHANA DAL",50.0 g,360.0,22.0,2.0,64.0,2.0,32.0,0.0,0.0,True,Lunch
 ORGANIC BENGAL GRAM SPLIT CHANA DAL,100.0 GRM,470.0,20.0,0.0,59.0,0.0,8.0,10.0,0.0,True,Lunch
ORGANIC CHANA DAL BENGAL GRAM SPLIT,100.0 MG,384.0,21.0,6.4,60.5,12.0,17.2,50.0,0.0,True,Lunch
"CHANA DAL, FRIED SPLIT CHICKPEA PULSE",35.0 g,457.0,20.0,20.0,51.4,0.0,11.4,457.0,0.0,True,Lunch
"BOB'S RED MILL, CHANA DAL HERITAGE BEANS",51.0 g,373.0,21.6,3.92,60.8,1.96,33.3,0.0,0.0,True,Lunch
"CHANA CHICKPEA MASALA, CHANA CHICKPEA",143.0 g,168.0,5.59,7.69,18.9,4.2,4.2,399.0,0.0,True,Dinner
CHANA MASALA,143.0 g,112.0,3.5,1.75,20.3,1.4,2.8,420.0,0.0,True,Dinner
CHANA MASALA,350.0 g,140.0,3.71,4.57,22.0,3.71,2.3,317.0,3.0,True,Dinner
CHANA MASALA,7.0 g,357.0,14.3,14.3,42.9,0.0,14.3,12100.0,0.0,True,Dinner
CHANA MASALA,283.0 g,106.0,4.24,2.83,17.7,4.59,3.5,57.0,0.0,True,Dinner
CHANA MASALA,140.0 g,71.0,4.29,2.14,12.9,0.0,7.1,293.0,0.0,True,Dinner
CHANA MASALA,233.0 g,116.0,4.72,3.86,20.2,0.86,7.3,155.0,0.0,True,Dinner
"CHANA MASALA GARBANZO BEANS, CHANA MASALA",130.0 GRM,115.0,5.38,2.69,17.7,3.08,3.8,269.0,0.0,True,Dinner
DAL MAKHANI,150.0 g,120.0,4.67,5.33,13.3,0.0,2.0,540.0,7.0,True,Lunch
DAL MAKHANI,150.0 g,140.0,6.0,6.67,14.0,0.0,0.7,467.0,13.0,True,Lunch
DAL TADKA,150.0 GRM,100.0,4.67,3.33,12.7,0.0,0.3,400.0,3.0,True,Lunch
MASOOR DAL,140.0 g,129.0,7.14,0.0,14.3,0.0,4.3,14.0,0.0,True,Lunch
MOONG DAL,35.0 g,457.0,20.0,20.0,51.4,0.0,5.7,600.0,0.0,True,Lunch
MOONG DAL,10.0 g,460.0,20.0,20.0,50.0,0.0,5.0,590.0,0.0,True,Lunch
MOONG DAL,35.0 g,343.0,22.9,1.43,62.9,5.71,17.1,0.0,0.0,True,Lunch
MUNG DAL,114.0 g,114.0,5.26,4.39,14.0,0.88,1.8,465.0,0.0,True,Lunch
TOOR DAL,47.0 g,340.0,21.3,2.13,61.7,2.13,8.5,43.0,0.0,True,Lunch
URAD DAL,35.0 g,343.0,22.9,1.43,60.0,2.86,28.6,43.0,0.0,True,Lunch
URAD DAL,100.0 g,350.0,24.0,1.5,60.0,3.0,29.0,40.0,0.0,True,Lunch
ORGANIC CHANA MASALA,150.0 g,253.0,9.33,8.67,34.7,0.0,12.0,393.0,0.0,True,Dinner
"CHANA MASALA AND DAHL SIMMER SAUCE, CHANA MASALA AND DAHL",125.0 g,56.0,1.6,2.8,8.0,2.4,1.6,440.0,0.0,True,Dinner
ORGANIC URAD DAL,100.0 GRM,305.0,21.3,3.89,51.0,0.0,2.7,32.0,0.0,True,Lunch
DAL VADA MIX,50.0 g,338.0,22.0,2.0,58.0,0.0,8.0,1980.0,0.0,True,Lunch
"INDIANLIFE, DAL MIX",28.0 g,357.0,17.9,10.7,46.4,3.57,10.7,304.0,0.0,True,Lunch
LENTILS MASOOR DAL,45.0 g,356.0,24.4,0.0,64.4,2.22,11.1,0.0,0.0,True,Lunch
LENTILS MASSOR DAL,45.0 g,356.0,24.4,0.0,64.4,2.22,11.1,0.0,0.0,True,Lunch
"LENTILS, MASOOR DAL",45.0 g,356.0,24.4,0.0,64.4,2.22,11.1,0.0,0.0,True,Lunch
"CHANA MASALA CHICKPEAS WITH ONION AND TOMATO IN A SPICY SAUCE, CHANA MASALA",225.0 g,107.0,4.0,4.0,14.7,2.67,4.0,182.0,0.0,True,Dinner
"PATAK'S, MEDIUM CHICKPEA CURRY WITH RICE, CHANA MASALA, CHANA MASALA",283.0 g,110.0,3.53,1.77,19.8,3.89,2.8,173.0,0.0,True,Lunch
CHANA MASALA MEAL TIME,150.0 GRM,113.0,4.67,4.33,14.7,2.67,3.3,407.0,0.0,True,Dinner
CHICKPEAS & RICE: CHANA MASALA,71.0 g,380.0,12.7,6.34,67.6,2.82,5.6,1040.0,0.0,True,Lunch
"MILD CHANA MASALA, MILD",150.0 g,253.0,9.33,8.67,34.7,3.2,12.0,393.0,0.0,True,Dinner
"CHANA MASALA CHICKPEAS IN A SAUCE OF TOMATOES, ONION, GARLIC & SPICES, CHANA MASALA",140.0 GRM,86.0,3.57,2.14,13.6,3.57,2.1,293.0,0.0,True,Dinner
DAL PALAK WITH ZEERA RICE,350.0 g,133.0,4.57,2.0,24.3,0.29,2.9,243.0,0.0,True,Lunch
DAL TADKA LENTIL CURRY,100.0 g,126.0,6.2,4.2,15.9,0.0,3.4,416.0,0.0,True,Lunch
"MILD DAL MAKHANI, MILD",150.0 g,107.0,4.67,4.0,13.3,4.67,6.7,467.0,0.0,True,Lunch
"YELLOW MOONG DAL, YELLOW",35.0 GRM,343.0,25.7,0.0,57.1,2.86,14.3,0.0,0.0,True,Lunch
YELLOW SPLIT MOONG DAL,51.0 g,353.0,25.5,0.98,60.8,1.96,9.8,29.0,0.0,True,Lunch
"MOONG DAL, SPLIT MOONG BEANS (WITHOUT SKIN)",112.0 g,339.0,25.0,1.34,58.0,0.89,27.7,9.0,0.0,True,Lunch
MOONG DAL SPLIT MUNG BEANS,50.0 g,340.0,24.0,2.0,62.0,6.0,16.0,20.0,0.0,True,Lunch
"KITCHENS OF INDIA, DAL BUKHARA BLACK GRAM LENTILS CURRY, DAL BUKHARA",125.0 g,120.0,4.8,4.8,15.2,0.0,0.8,592.0,4.0,True,Lunch
"DAL MAKHANI, AROMATIC LENTILS & BEANS",71.0 g,127.0,7.04,2.82,19.7,2.82,2.8,423.0,7.0,True,Lunch
MASOOR DAL SPLIT RED LENTILS,39.0 g,333.0,25.6,2.56,59.0,0.0,10.3,0.0,0.0,True,Lunch
"RED LENTILS, LAL MASSOR DAL",45.0 g,356.0,24.4,2.22,62.2,0.0,11.1,0.0,0.0,True,Lunch
"RED MASOOR DAL, RED MASOOR",35.0 GRM,0.0,20.0,0.0,62.9,0.0,11.4,0.0,0.0,True,Lunch
TOOR DAL (SPLIT PIGEON PEAS),35.0 g,343.0,22.9,1.43,62.9,2.86,17.1,86.0,0.0,True,Lunch
TOOR DAL SPLIT PIGEON PEAS,48.0 g,333.0,20.8,2.08,62.5,0.0,14.6,21.0,0.0,True,Lunch
"INDIAN SPINACH DAL COOKED WITH YELLOW LENTILS IN A LIGHTLY SPICED SAUCE, INDIAN SPINACH DAL",140.0 GRM,86.0,3.57,3.57,10.0,1.43,2.9,329.0,0.0,True,Lunch
"BOMBAY DAL PALAK WITH LEMON RICE, MEDIUM",227.0 g,106.0,3.08,2.2,17.6,0.88,1.3,216.0,0.0,True,Lunch
ORGANIC MILD INDIAN COCONUT SQUASH DAL,140.0 GRM,129.0,4.29,5.0,17.1,0.71,4.3,264.0,0.0,True,Lunch
BLACK LENTIL AND KIDNEY BEAN DAL MAKHANI,143.0 GRM,133.0,4.2,7.69,11.2,1.4,4.2,476.0,3.0,True,Lunch
"GREEN SPLIT PEAS, GREEN MATAR DAL",49.0 g,347.0,22.4,2.04,65.3,2.04,34.7,0.0,0.0,True,Lunch
INDIAN DAL (LENTIL SOUP) SPICE MIX,3.0 g,333.0,33.3,0.0,33.3,0.0,33.3,333.0,0.0,True,Lunch
"PATAK'S, LENTIL CURRY WITH RICE, DAL MAKHANI",283.0 g,120.0,3.53,2.47,20.8,1.06,3.2,138.0,4.0,True,Lunch
"TURKISH, TRIKONA RED LENTIL MASOOR DAL",45.0 g,333.0,24.4,0.0,60.0,4.44,15.6,33.0,0.0,True,Lunch
TOOR DAL PLAIN SPLIT PIGEON PEAS,100.0 g,340.0,22.0,1.5,63.0,3.0,15.0,15.0,10.0,True,Lunch
"CHICKPEA BUTTER, CHICKPEA",32.0 GRM,562.0,12.5,37.5,43.8,9.38,6.2,234.0,0.0,True,Breakfast
"CHICKPEA CHIPS, CHICKPEA",28.0 g,536.0,7.14,28.6,64.3,0.0,0.0,786.0,0.0,True,Unhealthy
"CHICKPEA SALAD, CHICKPEA",100.0 g,140.0,5.0,7.0,17.0,7.0,3.0,250.0,0.0,True,Lunch
"CHICKPEA & NOODLE SOUP, CHICKPEA",245.0 GRM,65.0,3.27,1.22,10.2,1.63,1.2,269.0,4.0,True,Lunch
"CHICKPEA KOFTA CURRY, CHICKPEA",283.0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Lunch
"CHICKPEA PASTA, PENNE, CHICKPEA",56.0 g,339.0,19.6,6.25,60.7,3.57,14.3,0.0,0.0,True,Lunch
"CHICKPEAS PIZZA CRUSTS, CHICKPEAS",48.0 g,312.0,8.33,10.4,45.8,2.08,6.2,281.0,0.0,True,Lunch
"CHICKPEA AND TOMATO SALAD, CHICKPEA AND TOMATO",113.0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Lunch
"CHICKPEA CURRY WITH BASMATI RICE, CHICKPEA",400.0 g,132.0,3.0,3.75,21.5,0.75,3.2,162.0,0.0,True,Lunch
"CHICKPEA PLANT BASED SALAD, CHICKPEA",57.0 g,193.0,5.26,12.3,17.5,3.51,3.5,298.0,0.0,True,Lunch
"CHICKPEA VEGGIE & RICE CRISPS, CHICKPEA",28.0 GRM,464.0,14.3,16.1,64.3,7.14,10.7,536.0,0.0,True,Breakfast
"CHICKPEA VEGGIE EMPANADAS, CHICKPEA VEGGIE",85.0 g,235.0,7.06,11.8,27.1,1.18,1.2,400.0,41.0,True,Breakfast
"MEDITERRANEAN CHICKPEA SALAD, MEDITERRANEAN CHICKPEA",227.0 GRM,137.0,6.61,6.61,18.5,1.32,0.9,220.0,4.0,True,Lunch
"ROTINI CHICKPEA PASTA, ROTINI CHICKPEA",56.0 GRM,411.0,21.4,6.25,66.1,3.57,14.3,9.0,0.0,True,Lunch
CHICKPEA CHIPS,28.0 g,500.0,10.7,28.6,53.6,0.0,7.1,357.0,0.0,True,Unhealthy
CHICKPEA CURRY,227.0 g,137.0,4.85,3.08,22.0,1.76,6.6,361.0,0.0,True,Lunch
"BLACK EYED PEA MASALA, BLACK EYED",227.0 g,110.0,3.96,2.64,18.1,0.44,1.8,115.0,0.0,True,Dinner
"BLACK EYED PEAS WITH SMOKED TURKEY BLACK EYED PEAS, SMOKED TURKEY, SWEET ONIONS, & GARLIC, BLACK EYED PEAS",113.0 g,62.0,5.31,0.88,9.73,0.0,2.7,354.0,4.0,True,Unhealthy
"BLACK EYED PEA MASALA BASMATI RICE BOWL, BLACK EYED PEA MASALA",283.0 GRM,0.0,3.53,3.53,20.1,1.06,1.4,127.0,0.0,True,Lunch
"BLACK-EYED PEAS & RICE LONG GRAIN WHITE RICE, BLACK-EYED PEAS AND BELL PEPPERS WITH MILD SEASONINGS DINNER MIX, BLACK-EYED PEAS & RICE",66.0 g,348.0,13.6,0.76,69.7,1.52,4.5,1360.0,0.0,True,Lunch
"SOUP, BLACK - EYED PEAS AND COLLARD GREENS",228.0 g,36.0,1.75,0.44,7.02,2.19,1.8,153.0,0.0,True,Lunch
"SOUP, BLACK-EYED PEA & COLLARD GREENS",228.0 g,36.0,1.75,0.44,7.02,2.19,1.8,155.0,0.0,True,Lunch
"BROWN RICE, BLACK-EYED PEAS AND VEGGIES IN A FLAVORFUL TAMARI GINGER SAUCE BOWLS, BROWN RICE, BLACK-EYED PEAS AND VEGGIES",255.0 GRM,114.0,3.53,3.92,15.7,0.78,2.0,231.0,0.0,True,Breakfast
RICE & PIGEON PEAS,45.0 g,356.0,8.89,0.0,77.8,2.22,2.2,1130.0,0.0,True,Lunch
BIRYANI SAUCE,62.0 g,129.0,1.61,11.3,9.68,3.23,1.6,871.0,0.0,True,Lunch
CHICKEN BIRYANI,283.0 g,163.0,6.01,4.59,24.7,1.41,0.7,180.0,14.0,True,Lunch
CHICKEN BIRYANI,328.0 g,140.0,5.49,4.57,18.6,1.52,0.9,238.0,17.0,True,Lunch
CHICKEN BIRYANI,284.0 g,113.0,10.2,3.17,11.6,0.0,1.1,264.0,32.0,True,Lunch
CHICKEN BIRYANI,255.0 GRM,149.0,11.0,5.88,12.6,0.78,2.7,435.0,37.0,True,Lunch
LAMB BIRYANI,142.0 g,183.0,7.75,9.15,16.2,2.11,0.7,338.0,18.0,True,Lunch
VEGETABLE BIRYANI,132.5 g,196.0,3.02,9.06,24.9,0.0,3.0,649.0,23.0,True,Lunch
"CHICKEN BIRYANI WITH BASMATI RICE, CHICKEN BIRYANI",215.0 g,130.0,6.51,3.26,19.1,0.47,0.9,242.0,16.0,True,Lunch
"MEDIUM BIRYANI CURRY SPICE PASTE, BIRYANI",15.0 g,267.0,6.67,20.0,20.0,6.67,13.3,1330.0,0.0,True,Lunch
BIRYANI PULAV MASALA,100.0 g,0.0,12.4,2.0,25.0,0.0,1.0,640.0,0.0,True,Lunch
BROWN RICE BIRYANI,125.0 g,144.0,3.2,3.6,24.0,1.6,2.4,384.0,4.0,True,Lunch
"CHICKEN BIRYANI, CHICKEN",283.0 GRM,170.0,14.8,5.3,15.9,1.77,1.8,159.0,44.0,True,Lunch
"DEEP, BIRYANI PASTE",16.0 g,625.0,12.5,43.8,43.8,0.0,12.5,3000.0,0.0,True,Lunch
"CHICKEN BIRYANI SEASONING MIX FOR CHICKEN AND BASMATI RICE, CHICKEN BIRYANI",5.0 g,300.0,0.0,0.0,60.0,0.0,0.0,8800.0,0.0,True,Lunch
BIRYANI MASALA NATURAL SPICES,2.0 GRM,250.0,25.0,0.0,50.0,0.0,50.0,0.0,0.0,True,Lunch
BIRYANI MASALA NATURAL SPICES,2.0 g,250.0,25.0,0.0,50.0,0.0,50.0,0.0,0.0,True,Lunch
"MEDIUM CHICKEN BIRYANI, MEDIUM",283.0 g,145.0,6.36,6.71,15.2,1.41,0.7,184.0,12.0,True,Lunch
"MEDIUM VEGETABLE BIRYANI, MEDIUM",132.5 g,143.0,3.02,3.77,24.2,3.77,6.8,438.0,0.0,True,Lunch
"TANDOOR CHEF, CHICKEN BIRYANI",283.0 GRM,170.0,12.0,5.3,18.0,0.0,0.0,286.0,41.0,True,Lunch
ZAFRANI BOMBAY BIRYANI MASALA,8.0 g,375.0,12.5,18.8,50.0,0.0,25.0,10600.0,0.0,True,Lunch
"VEG BIRYANI VEGETABLES SAUTED WITH ONIONS AND COOKED WITH BASMATI RICE, VEG BIRYANI",132.5 g,158.0,3.02,6.04,22.6,0.0,0.4,513.0,4.0,True,Lunch
"VEGETABLE BIRYANI STYLE ORGANIC RICE & QUINOA BOWL, VEGETABLE BIRYANI STYLE",255.0 g,161.0,4.31,3.92,26.3,1.96,4.3,110.0,0.0,True,Lunch
"CHICKEN KABAB BIRYANI, CHICKEN KABAB",142.0 GRM,162.0,7.04,7.04,17.6,1.41,0.7,215.0,18.0,True,Lunch
DELHI PULAO BIRYANI SPICE MIX,7.0 g,500.0,14.3,21.4,57.1,0.0,28.6,11400.0,0.0,True,Lunch
"HALDIRAM'S, MINUTE KHANA HYDERABADI BIRYANI",100.0 g,200.0,3.0,9.0,28.0,0.0,3.0,550.0,5.0,True,Lunch
"KITCHENS OF INDIA, KASHMIRI VEGETABLE BIRYANI",140.0 g,207.0,3.57,8.57,27.9,1.43,0.7,629.0,11.0,True,Lunch
PREMIUM CHICKEN BIRYANI WITH BASMATI RICE,142.0 g,180.0,9.15,9.15,16.2,0.7,0.7,461.0,20.0,True,Lunch
"SHAH'S, BIRYANI MASALA (MIXED SPICES)",70.0 g,374.0,14.3,14.3,47.1,0.0,0.0,86.0,0.0,True,Lunch
SINDHI BIRYANI MASALA SPICE MIX,8.0 g,375.0,12.5,12.5,50.0,0.0,25.0,7500.0,0.0,True,Lunch
"VEGETABLE BIRYANI WITH BASMATI RICE, VEGETABLE",283.0 g,163.0,3.53,6.01,23.7,2.47,2.1,230.0,0.0,True,Lunch
"SPECIAL BOMBAY BIRYANI SEASONING MIX FOR MEAT & POTATO LAYERED PILAF, SPECIAL BOMBAY BIRYANI",10.0 GRM,300.0,10.0,10.0,40.0,0.0,0.0,13200.0,0.0,True,Lunch
"MOSUL KUBBA CHICKEN BIRYANI, 10 OZ",283.0 GRM,170.0,14.8,5.3,15.9,1.77,1.8,159.0,44.0,True,Lunch
"MILD ONE POT BIRYANI RICE KIT, MILD",82.0 g,305.0,6.1,0.0,58.5,4.88,3.7,232.0,0.0,True,Lunch
"CHICKEN BIRYANI WITH BASMATI RICE A CLASSIC HYDERABADI INSPIRED RECIPE WITH TENDER DARK MEAT CHICKEN AND CARAMELIZED ONIONS, CHICKEN BIRYANI",283.0 GRM,141.0,6.71,4.59,19.1,1.41,0.4,223.0,18.0,True,Breakfast
"CHICKEN BIRYANI WITH BASMATI RICE A CLASSIC HYDERABADI INSPIRED RECIPE WITH TENDER DARK MEAT CHICKEN AND CARAMELIZED ONIONS, CHICKEN BIRYANI",215.0 g,130.0,6.51,3.26,19.1,0.47,0.9,242.0,16.0,True,Breakfast
"TANGY INDIAN SPICED FLAVOR, CREAMY, MILDLY SPICY, 5 KINDS OF HEALTHY VEGETABLES BIRYANI RICE, TANGY INDIAN SPICED",240.0 GRM,158.0,2.92,8.75,20.0,3.33,2.5,429.0,8.0,True,Lunch
CHICKEN BIRIYANI WITH BASMATI RICE,340.0 g,117.0,8.24,2.65,15.0,1.47,0.6,191.0,26.0,True,Lunch
CHICKEN TIKKA MASALA,140.0 g,164.0,13.6,10.0,3.57,1.43,0.0,564.0,64.0,True,Dinner
CHICKEN TIKKA MASALA,312.0 g,115.0,6.09,2.88,16.4,2.56,1.9,276.0,14.0,True,Dinner
CHICKEN TIKKA MASALA,241.0 g,108.0,6.22,5.81,7.88,1.24,2.5,282.0,21.0,True,Dinner
CHICKEN TIKKA MASALA,298.0 g,107.0,6.38,1.68,16.4,2.68,2.0,178.0,12.0,True,Dinner
CHICKEN TIKKA MASALA,283.0 g,134.0,7.07,6.01,13.1,2.47,1.1,223.0,28.0,True,Dinner
CHICKEN TIKKA MASALA,140.0 g,150.0,10.0,6.43,13.6,1.43,0.7,286.0,25.0,True,Dinner
"CHICKEN TIKKA MASALA CROWNS, CHICKEN TIKKA MASALA",75.0 g,280.0,5.33,18.7,22.7,2.67,1.3,293.0,53.0,True,Dinner
